"","y0_1","y0_2","fY.1000"
"1",-5,-5,1.02235793808735e-05
"2",-4.5,-5,1.10374317609499e-05
"3",-4,-5,1.3187887298073e-05
"4",-3.5,-5,1.73309168930775e-05
"5",-3,-5,2.38130566201376e-05
"6",-2.5,-5,3.31444857379496e-05
"7",-2,-5,4.3594183216189e-05
"8",-1.5,-5,5.19521026990749e-05
"9",-1,-5,6.04417162568971e-05
"10",-0.5,-5,7.31312614525975e-05
"11",0,-5,8.64025309944228e-05
"12",0.5,-5,0.000100513770898528
"13",1,-5,0.000110244434006511
"14",1.5,-5,0.000115412135131715
"15",2,-5,0.000119098294458091
"16",2.5,-5,0.00012337362874794
"17",3,-5,0.000125614703858255
"18",3.5,-5,0.000122590000028204
"19",4,-5,0.000115789434351476
"20",4.5,-5,0.000108638611423757
"21",5,-5,0.000104935273931159
"22",5.5,-5,8.82818914755916e-05
"23",6,-5,7.54349335075533e-05
"24",6.5,-5,6.86482462768434e-05
"25",7,-5,5.84066626450057e-05
"26",7.5,-5,4.45578940563925e-05
"27",8,-5,3.18311380564509e-05
"28",8.5,-5,2.23490645812105e-05
"29",9,-5,1.55913673935976e-05
"30",9.5,-5,1.02045129472183e-05
"31",10,-5,5.8360812983013e-06
"32",10.5,-5,2.84114770145452e-06
"33",11,-5,1.2256854054498e-06
"34",11.5,-5,6.25301290353181e-07
"35",12,-5,5.32745114216277e-07
"36",12.5,-5,3.59887443318359e-07
"37",13,-5,1.15637821288408e-07
"38",13.5,-5,2.10243672905033e-08
"39",14,-5,5.22652255880997e-09
"40",14.5,-5,3.04004644993613e-09
"41",15,-5,2.85077037360041e-09
"42",-5,-4.5,2.06989939523726e-05
"43",-4.5,-4.5,2.32321258211294e-05
"44",-4,-4.5,2.79696235832574e-05
"45",-3.5,-4.5,3.65286276687012e-05
"46",-3,-4.5,4.94996395003379e-05
"47",-2.5,-4.5,6.75958693035721e-05
"48",-2,-4.5,8.81072184847287e-05
"49",-1.5,-4.5,0.000106095285587154
"50",-1,-4.5,0.000125380825993778
"51",-0.5,-4.5,0.000150896416590485
"52",0,-4.5,0.00017328016414843
"53",0.5,-4.5,0.000198886633142408
"54",1,-4.5,0.000219345773485084
"55",1.5,-4.5,0.000236101453962244
"56",2,-4.5,0.000251378506878922
"57",2.5,-4.5,0.000254854027196119
"58",3,-4.5,0.000270152819245907
"59",3.5,-4.5,0.000262423944057363
"60",4,-4.5,0.000255068141149946
"61",4.5,-4.5,0.000227718991292567
"62",5,-4.5,0.000217289754742035
"63",5.5,-4.5,0.000189759708134623
"64",6,-4.5,0.000154267128964336
"65",6.5,-4.5,0.000130656509414323
"66",7,-4.5,0.000107669088927605
"67",7.5,-4.5,8.37940728725884e-05
"68",8,-4.5,6.20319195796564e-05
"69",8.5,-4.5,4.5010447361593e-05
"70",9,-4.5,3.25112524159157e-05
"71",9.5,-4.5,2.24155464500979e-05
"72",10,-4.5,1.39815964941453e-05
"73",10.5,-4.5,7.73611026688101e-06
"74",11,-4.5,3.96996060094418e-06
"75",11.5,-4.5,2.75773063441952e-06
"76",12,-4.5,3.06743419688479e-06
"77",12.5,-4.5,2.21888614071534e-06
"78",13,-4.5,7.07151213955418e-07
"79",13.5,-4.5,1.2019519132596e-07
"80",14,-4.5,2.86839515178939e-08
"81",14.5,-4.5,1.73426609252305e-08
"82",15,-4.5,1.63193833997087e-08
"83",-5,-4,3.35258409404154e-05
"84",-4.5,-4,4.04954143977544e-05
"85",-4,-4,5.21401619838472e-05
"86",-3.5,-4,7.16463101600407e-05
"87",-3,-4,9.75770973934813e-05
"88",-2.5,-4,0.00012905687071887
"89",-2,-4,0.000164814695695291
"90",-1.5,-4,0.000203539321006193
"91",-1,-4,0.000242382064000202
"92",-0.5,-4,0.000277658013833847
"93",0,-4,0.000323200201099072
"94",0.5,-4,0.000368717458859212
"95",1,-4,0.000415976226167941
"96",1.5,-4,0.000465149805352995
"97",2,-4,0.000492817631952996
"98",2.5,-4,0.000492821174616007
"99",3,-4,0.000525194730494816
"100",3.5,-4,0.000527341186459719
"101",4,-4,0.000522675318693974
"102",4.5,-4,0.000459956282086788
"103",5,-4,0.000406410500377286
"104",5.5,-4,0.000355969553693033
"105",6,-4,0.000300921083220408
"106",6.5,-4,0.00024740413319742
"107",7,-4,0.000201105211602226
"108",7.5,-4,0.000159281058682804
"109",8,-4,0.000121622971360209
"110",8.5,-4,9.09897588547726e-05
"111",9,-4,6.74482561129105e-05
"112",9.5,-4,4.82378712858677e-05
"113",10,-4,3.21736395470477e-05
"114",10.5,-4,1.96054788151767e-05
"115",11,-4,1.11427060974492e-05
"116",11.5,-4,7.96444426341754e-06
"117",12,-4,8.28861061746254e-06
"118",12.5,-4,5.85456906517763e-06
"119",13,-4,1.94302852211815e-06
"120",13.5,-4,3.96796467945097e-07
"121",14,-4,1.23337014516365e-07
"122",14.5,-4,7.88612581162344e-08
"123",15,-4,7.27444644357384e-08
"124",-5,-3.5,4.6941437874891e-05
"125",-4.5,-3.5,6.25852822733139e-05
"126",-4,-3.5,9.10154466871315e-05
"127",-3.5,-3.5,0.000136419986993635
"128",-3,-3.5,0.000186860193560149
"129",-2.5,-3.5,0.000238438088490399
"130",-2,-3.5,0.000294082592574202
"131",-1.5,-3.5,0.000365308441647962
"132",-1,-3.5,0.00043997692782326
"133",-0.5,-3.5,0.000508001374237276
"134",0,-3.5,0.000588530486262409
"135",0.5,-3.5,0.000668288712653405
"136",1,-3.5,0.000749887429253373
"137",1.5,-3.5,0.000833278975953273
"138",2,-3.5,0.000892422201813056
"139",2.5,-3.5,0.000912371823088218
"140",3,-3.5,0.000942860543463978
"141",3.5,-3.5,0.000957389331351686
"142",4,-3.5,0.000941516963354552
"143",4.5,-3.5,0.000854808068216467
"144",5,-3.5,0.000758188279978229
"145",5.5,-3.5,0.000671705640003671
"146",6,-3.5,0.000579618343900146
"147",6.5,-3.5,0.000466930916608165
"148",7,-3.5,0.000377553578775114
"149",7.5,-3.5,0.000300825625045694
"150",8,-3.5,0.000232537660106493
"151",8.5,-3.5,0.000176297208192829
"152",9,-3.5,0.000131352892204448
"153",9.5,-3.5,9.53561234239266e-05
"154",10,-3.5,6.69894050831482e-05
"155",10.5,-3.5,4.46193501516142e-05
"156",11,-3.5,2.76180621229214e-05
